Constituency Name,Electorate,Conservative Votes,Conservative Vote (proportion),Labour Votes,Labour Vote (proportion),Lib Dem Votes,Lib Dem Vote (proportion),Turnout (Proportion),Binary_Con (1 = win),Median House Price (£),Ratio of median house price to median salary,Home Ownership (proportion of households),Unemployment Rate,Share of LSOAs (small areas) in most deprived decile,Number of Businesses,Number of businesses per capita,Standardised Weighted Overall Social Mobility Index,School Funding Per Pupil (Real),Are Religous (proportion),Are Not Religious (proportion),Are Christian (proportion),Are Muslim (proportion),Average Internet Speed (Mb/s),Asthma,Atrial fibrillation,Cancer diagnosis since 2003,Cardiovascular disease (primary prevention),Chronic kidney disease,COPD,Coronary heart disease,Dementia,Depression,Diabetes,Epilepsy,Heart failure,High blood pressure (hypertension),Learning disabilities,Obesity,Osteoporosis,Peripheral arterial disease,Rheumatoid arthritis,"Schizophrenia, bipolar disorder & psychoses",Stroke and transient ischaemic attack,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,"""White""","""Mixed""","""Asian""","""Black""","""Other"""
Aldershot,72617,27980,0.385309225,11282,0.155363069,6920,0.09529449,0.660065825,1,302000,8.9,0.65426048,0.015520967,0,3825,0.052673616,-24.94625196,"6,972",0.664787052,0.265362483,0.581416832,0.013818056,114.8,0.057579089,0.01989271,0.030609901,0.012002215,0.034918392,0.018407318,0.026682077,0.006852819,0.1339346,0.078472267,0.008036818,0.008007584,0.147026175,0.004241253,0.116832027,0.013875458,0.005399515,0.006284818,0.008152514,0.014895596,0.12956908,0.10903078,0.12176625,0.15190368,0.14323595,0.13993805,0.0918569,0.07232603,0.04037331,0.855333808,0.02134293,0.097736764,0.019293316,0.006293181
Aldridge-Brownhills,60138,27850,0.463101533,8014,0.133260168,2371,0.039425987,0.654195351,1,192750,6.4,0.755941669,0.025051281,0.02,2505,0.041654195,12.11134971,"6,900",0.741717983,0.197222439,0.701743446,0.007223218,95.7,0.071791195,0.028976044,0.037132006,0.011411577,0.063751962,0.023912602,0.044088585,0.010223759,0.120029202,0.084963546,0.009371979,0.015002546,0.17426211,0.005799039,0.146999464,0.015328373,0.006946473,0.011108078,0.008843855,0.022405312,0.10893231,0.10859775,0.10525233,0.11069508,0.12179932,0.15085307,0.11293393,0.11072081,0.07021539,0.931288487,0.015524723,0.040364279,0.009704576,0.003117936
Altrincham and Sale West,73107,26311,0.359897137,20172,0.27592433,6036,0.082563913,0.749080115,1,342500,8.2,0.740804727,0.015493581,0.050847458,6460,0.088363631,103.8461171,"6,822",0.728007785,0.207576275,0.652690209,0.031348676,94.7,0.071644326,0.023253718,0.038387958,0.012076168,0.046054106,0.015796414,0.031306595,0.008063359,0.131972545,0.055103767,0.007218339,0.007704706,0.133920281,0.00355765,0.085910204,0.010850948,0.006271115,0.00686933,0.007775105,0.019142704,0.12848052,0.13108027,0.08466659,0.12384798,0.14972779,0.13933874,0.10154516,0.08451021,0.05680272,0.904338914,0.021306333,0.055895477,0.009762814,0.008696462
Amber Valley,69976,29096,0.415799703,12210,0.174488396,2873,0.041056934,0.651180405,1,160000,5.5,0.724682122,0.026734835,0.052631579,2960,0.042300217,-37.11118115,"6,737",0.611130708,0.317160315,0.600161578,0.001615785,56.3,0.072241621,0.025118343,0.036422858,0.011185763,0.058563126,0.025985695,0.039669074,0.009481818,0.143248742,0.075957425,0.008857981,0.012601244,0.16123062,0.00775206,0.135274084,0.00598883,0.00955112,0.008722586,0.008751697,0.022403458,0.10650088,0.10094828,0.11444872,0.12041502,0.12667532,0.1502357,0.12431274,0.10409476,0.05236856,0.983887669,0.006599684,0.006702093,0.002002663,0.000807892
Arundel and South Downs,81726,35566,0.435185865,9722,0.118958471,13045,0.159618726,0.751388787,1,391000,12.4,0.759701493,0.012505995,0,6120,0.07488437,-54.87171533,"6,691",0.670021693,0.250372685,0.654836687,0.003053451,52.9,0.06840713,0.031896562,0.046187935,0.013998814,0.046056461,0.01710867,0.038592829,0.010231494,0.101567199,0.067627371,0.006303831,0.008465166,0.166625225,0.003841713,0.075420507,0.006896286,0.00539973,0.008290925,0.007148769,0.02315199,0.09961051,0.10790894,0.07192626,0.08802404,0.1230673,0.15746468,0.14080911,0.13169845,0.07949076,0.977484656,0.009993112,0.00934541,0.002148725,0.001028098
Ashfield,78204,19231,0.245908138,11971,0.153074012,1105,0.014129712,0.626310675,1,138000,5.2,0.690888147,0.030492632,0.15625,2585,0.033054575,-30.71502985,"6,599",0.594246129,0.337578743,0.582069196,0.002982907,102.9,0.06774386,0.022321024,0.035432849,0.011193101,0.057088766,0.026683111,0.040646199,0.010230609,0.139598319,0.086458524,0.010597067,0.013434734,0.159770514,0.007538429,0.154264559,0.010387315,0.006869046,0.008648546,0.007901862,0.021508453,0.11788228,0.11009848,0.11434842,0.12367596,0.12338767,0.14733426,0.11703603,0.09643731,0.04979959,0.979571011,0.008036187,0.008291304,0.002845536,0.001255961
Ashford,89553,37270,0.416178129,13241,0.147856577,6048,0.067535426,0.670653133,1,280000,9.1,0.678441139,0.02747678,0.013333333,5985,0.066831932,11.88146261,"6,423",0.65991677,0.26380379,0.627279972,0.008933947,80.5,0.062290826,0.024888303,0.033508238,0.013211518,0.044028201,0.018266891,0.028971479,0.007109272,0.143825675,0.065977148,0.008764785,0.006857315,0.148961032,0.004518662,0.092505085,0.009681043,0.005405384,0.008559469,0.0073063,0.017606509,0.12949622,0.12244506,0.1064335,0.12128991,0.13117277,0.1440077,0.10383442,0.09175358,0.04956682,0.934956614,0.014459005,0.035071719,0.012086063,0.003426598
Ashton-Under-Lyne,67978,14281,0.210082674,18544,0.272794139,1395,0.020521345,0.567521845,0,140000,5.5,0.623715577,0.044019777,0.206896552,2505,0.036850157,-30.52965586,"6,342",0.742473808,0.201273153,0.650424384,0.059358561,91.8,0.068574871,0.017229058,0.026919642,0.012251198,0.029142681,0.028817259,0.03515241,0.007852337,0.159185077,0.084057636,0.00962019,0.007956724,0.15015864,0.005815163,0.10354079,0.005339095,0.008679083,0.008029987,0.009331237,0.017919417,0.13066311,0.11420321,0.12787165,0.13652406,0.12119786,0.14219251,0.1026631,0.08142246,0.04326202,0.873513549,0.016964325,0.095608063,0.011361125,0.002552938
Aylesbury,86665,32737,0.37774188,15364,0.177280332,10081,0.116321468,0.698967288,1,315000,10.2,0.695131869,0.016112942,0,4905,0.056597242,30.66555603,"6,289",0.670998917,0.258888981,0.591231822,0.057504142,103.6,0.069844059,0.020806427,0.029025238,0.011923,0.026113798,0.015003457,0.029133469,0.007620532,0.127811276,0.065300462,0.007635967,0.007223673,0.131225592,0.004658198,0.082785377,0.005294837,0.005296636,0.007493487,0.008736752,0.015484409,0.13960151,0.115459,0.11500529,0.15226579,0.13982441,0.1338624,0.09079113,0.07011916,0.04307126,0.857942922,0.027363529,0.083932721,0.025549168,0.00521166
Banbury,90116,34148,0.378933819,17335,0.192363176,8831,0.097995916,0.698222291,1,303995,9.3,0.677487245,0.014394104,0,5790,0.064250522,11.00171911,"6,285",0.674004477,0.257445221,0.634590598,0.02342955,75.6,0.064071768,0.019469044,0.036687903,0.0133351,0.031521359,0.015092822,0.025599377,0.006660273,0.134665019,0.056877879,0.007943554,0.007709535,0.127256863,0.004196628,0.115017635,0.016143016,0.005257558,0.00810213,0.007678871,0.017159522,0.12989179,0.11772037,0.10257162,0.14211875,0.13717241,0.14207113,0.1013807,0.080706,0.04636724,0.924165593,0.017731158,0.041525337,0.013516722,0.00306119
Barking,77953,11792,0.151270637,27219,0.349171937,1482,0.019011456,0.57084397,0,310000,9.8,0.429535996,0.040225931,0.027777778,4850,0.062216977,12.44141042,"6,249",0.754302486,0.181959399,0.534546614,0.166638052,108.7,0.048217859,0.008254208,0.016027978,0.010885179,0.022860256,0.014347925,0.017171488,0.003721882,0.079053256,0.086864312,0.005877658,0.004379315,0.111729059,0.004651103,0.127680441,0.005440643,0.002750248,0.007092706,0.008455031,0.009209869,0.18408949,0.14405466,0.13660745,0.17178144,0.14066055,0.10470711,0.06185917,0.03399066,0.02224947,0.550039652,0.044083622,0.186292545,0.202235249,0.017348933
Barnsley Central,65277,7892,0.120900164,14804,0.226787383,1176,0.018015534,0.565329289,0,140000,5.5,0.629690264,0.032828847,0.20754717,2580,0.039523875,-36.02657641,"6,210",0.690120634,0.243822479,0.676528922,0.006638355,91.6,0.062890033,0.021126914,0.030317578,0.009345349,0.038293361,0.030613845,0.043744137,0.008214548,0.12451264,0.076099511,0.009245852,0.010804918,0.149458974,0.006307464,0.168267768,0.002441972,0.010918408,0.007554825,0.008044128,0.021790005,0.11614254,0.10482452,0.12686375,0.13912581,0.1226751,0.14515919,0.11207326,0.08647481,0.04666103,0.97311991,0.007093357,0.0098817,0.007198357,0.002706676
Barnsley East,69504,10377,0.14930076,14329,0.206160797,1330,0.019135589,0.54773826,0,126000,4.6,0.627501217,0.032843987,0.228070175,2005,0.028847261,-35.63087459,"6,164",0.694373797,0.242707389,0.686522768,0.002377424,82.5,0.068033853,0.023385151,0.032663612,0.010869886,0.043672356,0.035428998,0.044012945,0.00880878,0.13988217,0.082835426,0.009766645,0.012245194,0.160246372,0.006394397,0.192983218,0.003624602,0.011008631,0.007814168,0.008034216,0.022856124,0.12130828,0.10905492,0.12331908,0.12672281,0.12099409,0.14351096,0.11633363,0.08932387,0.04943237,0.981268107,0.006988522,0.005285623,0.005274565,0.001183183
Barrow and Furness,70158,23876,0.340317569,18087,0.257803814,2025,0.028863423,0.656318595,1,140000,4.3,0.74156604,0.026570605,0.196721311,3085,0.043972177,-15.70546722,"6,154",0.712449058,0.221083917,0.702001666,0.002195303,46.9,0.079227327,0.024645099,0.037766573,0.008999713,0.034473344,0.026690171,0.041275319,0.010743807,0.125148653,0.075889283,0.01114251,0.011452039,0.163069699,0.006234151,0.11851034,0.002940263,0.007761218,0.012227302,0.009845883,0.02276202,0.10462879,0.10576956,0.11015983,0.11020592,0.11884815,0.15481144,0.1271793,0.11043637,0.05796066,0.984283881,0.005133632,0.008443474,0.001046991,0.001092023
Basildon and Billericay,69906,29590,0.423282694,9178,0.13129059,3741,0.05351472,0.631247675,1,308000,9.9,0.666025024,0.029896577,0.035714286,4510,0.064515206,14.80018393,"6,142",0.636535953,0.293253203,0.610199917,0.009488555,91.0,0.06637232,0.018197128,0.028274941,0.013262467,0.051186755,0.018759594,0.02787444,0.006620093,0.104649403,0.065782544,0.007849422,0.008650882,0.143498893,0.004001668,0.081920916,0.004352263,0.005094551,0.008816327,0.008564554,0.017672647,0.13927355,0.12012176,0.11243421,0.13789083,0.13249408,0.13388711,0.09552162,0.07790734,0.0504695,0.927079733,0.01690323,0.027774371,0.025555543,0.002687123
Basingstoke,82928,29593,0.356851727,15395,0.185642967,6841,0.082493247,0.659765097,1,270000,7.8,0.643183242,0.019324062,0,4445,0.053600714,23.04748709,"6,139",0.608078077,0.320715582,0.564391274,0.011667099,100.3,0.066921496,0.017236472,0.029613699,0.013298782,0.036146657,0.01527704,0.022889379,0.005954873,0.145309351,0.063490194,0.007650104,0.006217429,0.130480377,0.004402284,0.104643004,0.013870622,0.005372485,0.006703656,0.008610359,0.015263507,0.13619035,0.11189266,0.11862272,0.15587687,0.14313752,0.1372498,0.09058227,0.06909817,0.03734966,0.903616801,0.020445202,0.056492833,0.015870958,0.003574206
Bassetlaw,80024,28078,0.350869739,14065,0.175759772,3332,0.041637509,0.635321903,1,160000,5.8,0.688399046,0.027461683,0.078125,3415,0.042674698,-22.97000796,"5,991",0.722140875,0.209733354,0.708066816,0.005240444,59.1,0.064750948,0.027246278,0.035379102,0.010515881,0.059363665,0.027183516,0.035534887,0.010783803,0.127207439,0.082439036,0.009217924,0.012144815,0.151985713,0.0057442,0.136361548,0.005496914,0.008589442,0.008367494,0.007246689,0.022034084,0.11484755,0.10493685,0.10866607,0.11164577,0.12377736,0.152325,0.12414752,0.10281774,0.05683616,0.974212007,0.008862515,0.010769883,0.004421625,0.00173397
Bath,67805,16097,0.237401372,6639,0.097913133,28419,0.419128383,0.768940344,0,370000,10.9,0.571618037,0.017909254,0.035087719,4275,0.063048448,-15.95255237,"5,978",0.544131714,0.369416716,0.511518248,0.010781125,83.3,0.062480577,0.019114663,0.027308171,0.010806607,0.029131696,0.011871394,0.023084751,0.006909798,0.086920885,0.040335369,0.006455574,0.006899692,0.103122276,0.00414358,0.063093924,0.013443273,0.003744061,0.005897349,0.009295709,0.015082877,0.08831762,0.12767246,0.25525261,0.10590323,0.10446766,0.1121274,0.08677954,0.07028087,0.04919867,0.916530683,0.022890197,0.041920346,0.012052803,0.006605971
Batley and Spen,79558,19069,0.239686769,22594,0.283994067,2462,0.030945977,0.665263079,0,147000,5.3,0.670514792,0.036602472,0.089552239,3545,0.044558687,-32.30370056,"5,943",0.735363627,0.205089945,0.536075404,0.187740387,74.8,0.074263132,0.017968167,0.029221943,0.010637014,0.045106252,0.027617896,0.035771177,0.007768312,0.130330739,0.086076863,0.008591115,0.008857868,0.15024407,0.007003969,0.119883489,0.006169308,0.007563813,0.008284279,0.009154361,0.018983623,0.13390039,0.12611912,0.11378535,0.13670879,0.13046591,0.13047483,0.10189881,0.0810325,0.04561432,0.777949749,0.013290207,0.202189084,0.004124227,0.002446733
Battersea,79350,21622,0.272488973,27290,0.343919345,9150,0.115311909,0.755853812,0,715500,16.7,0.419969195,0.020064811,0,6885,0.086767486,53.59898437,"5,915",0.635241638,0.284315287,0.550553374,0.05545924,120.3,0.044179394,0.008413058,0.018722666,0.006613784,0.013548534,0.00847039,0.01145358,0.003635059,0.077498772,0.038277933,0.004119844,0.003324638,0.075295518,0.003068706,0.058201519,0.005252729,0.002545658,0.003892041,0.009589886,0.00769567,0.1171654,0.07259595,0.21376028,0.24905969,0.13484838,0.0955131,0.05771728,0.0373964,0.02194354,0.734839611,0.050389377,0.070800026,0.122388927,0.02158206
Beaconsfield,77720,32477,0.417871848,5756,0.074060731,0,0,0.744570252,1,525000,13.6,0.738697204,0.012447856,0,7675,0.09875193,24.10360687,"5,893",0.712729029,0.217513357,0.630132714,0.019690704,65.4,0.061570981,0.025444978,0.037797276,0.012374071,0.033735287,0.012871898,0.031314847,0.009305742,0.108527915,0.059999507,0.006318157,0.007808379,0.150552946,0.003022007,0.081943516,0.008501651,0.00521851,0.006723659,0.006931094,0.019267471,0.1193928,0.11554678,0.08426239,0.10929574,0.13656854,0.15165088,0.11576098,0.09541103,0.07211084,0.87552698,0.022829948,0.083964704,0.010111986,0.007566382
Beckenham,68662,27282,0.397337683,13024,0.189682794,8194,0.119338207,0.736287903,1,485000,11.7,0.768832584,0.014334733,0,4445,0.064737409,73.02701507,"5,892",0.6737424,0.250117801,0.620484766,0.021951248,110.7,0.05479485,0.021176809,0.032204543,0.008674179,0.029248979,0.011557931,0.026321656,0.006879348,0.10152509,0.054740135,0.005631335,0.005680321,0.127100076,0.003043352,0.070979622,0.006362719,0.003615639,0.006744925,0.007267474,0.014196348,0.12085106,0.11586432,0.09723637,0.13045996,0.14632106,0.1467822,0.10055016,0.08250133,0.05943354,0.866913379,0.034708255,0.050154578,0.03842043,0.009803358
Bedford,71581,20346,0.284237437,20491,0.286263115,4608,0.064374625,0.660803845,0,245000,8.2,0.592109109,0.040851966,0.058823529,3835,0.05357567,2.378239479,"5,846",0.702065977,0.232244276,0.561237211,0.079235351,109.0,0.071068986,0.01860574,0.030346993,0.012124424,0.040574852,0.015506641,0.029392357,0.00788474,0.125659743,0.079408456,0.008105514,0.009279058,0.142301876,0.006477981,0.1108563,0.007981852,0.005086442,0.007714134,0.012811536,0.016225694,0.13323167,0.12109586,0.12140464,0.14049255,0.13390534,0.13146322,0.09737636,0.07064393,0.05038644,0.744266123,0.040379554,0.154295213,0.052025409,0.009033701
Bermondsey and Old Southwark,93248,9678,0.103787749,31723,0.340200326,15597,0.167263641,0.62859257,0,584500,14.6,0.2440339,0.032776119,0.026315789,10490,0.11249571,66.79912993,"5,762",0.64225194,0.277398397,0.512622311,0.085423879,122.1,0.043652701,0.007682081,0.017048121,0.009159567,0.020529555,0.013264413,0.012435556,0.003482289,0.083841277,0.054745062,0.004715865,0.00443515,0.094277525,0.00311566,0.089442334,0.003721544,0.003464218,0.004245951,0.011300431,0.008417127,0.10556999,0.09031682,0.23310295,0.22657451,0.12670683,0.10693345,0.06062988,0.03143324,0.01873232,0.584530754,0.057341806,0.121180506,0.201459035,0.035487899
Berwick-Upon-Tweed,59939,23947,0.399522848,9112,0.152021222,7656,0.127729859,0.702530906,1,186975,6.6,0.627260789,0.024069972,0.044444444,3500,0.058392699,-4.08984844,"5,743",0.71441401,0.216223355,0.704350353,0.002733828,49.9,0.081656089,0.032306441,0.046637854,0.013849619,0.058798139,0.02953245,0.04972834,0.009698631,0.099184915,0.085167753,0.008853412,0.013758258,0.194935197,0.005963497,0.142392706,0.007347087,0.009714778,0.01711288,0.009170362,0.028435158,0.08307569,0.08307569,0.08986114,0.09867698,0.10766308,0.16436994,0.16460571,0.13109772,0.06947864,0.986528963,0.004926173,0.005890277,0.001862173,0.000792414
Bethnal Green and Bow,88262,6528,0.073961614,44052,0.499104938,5892,0.066755795,0.686161655,0,535000,14.9,0.233669479,0.034195478,0.014285714,8825,0.099986404,79.9014423,"5,740",0.635000917,0.211549968,0.249866375,0.35427719,91.8,0.048045082,0.005813587,0.0133952,0.007275313,0.02745767,0.011672868,0.015503772,0.00303423,0.086690284,0.066876981,0.004379997,0.004399037,0.074264025,0.004190438,0.07030177,0.00271656,0.002802516,0.004267378,0.014292731,0.007787798,0.1234159,0.11440298,0.23050528,0.22903471,0.12392567,0.08032523,0.05238459,0.02748312,0.01852251,0.469425852,0.041659021,0.400204227,0.066261936,0.022448963
Beverley and Holderness,79696,33250,0.4172104,12802,0.160635415,4671,0.058610219,0.671827946,1,177500,5.4,0.755337726,0.020545432,0.047619048,3945,0.049500602,7.530954363,"5,704",0.682630228,0.242120143,0.673026026,0.002345912,103.5,0.070624847,0.02967458,0.04696218,0.012633538,0.044101506,0.023953086,0.049124634,0.010300997,0.096381727,0.082179678,0.009999761,0.009211714,0.184956109,0.005106752,0.108230692,0.003191721,0.009293828,0.009578471,0.006734741,0.02301846,0.09333174,0.10440736,0.08137045,0.0927247,0.12133425,0.15979541,0.15019255,0.1291658,0.06767769,0.984982155,0.005834703,0.006937482,0.001243133,0.001002526
Bexhill and Battle,81963,37590,0.458621573,11531,0.140685431,7280,0.088820565,0.720971658,1,295800,10.0,0.750005607,0.022393488,0.03030303,4810,0.058685016,24.41823504,"5,662",0.663575804,0.256475424,0.645904276,0.004685933,50.8,0.070467421,0.03793453,0.048891848,0.013338554,0.061168837,0.024636401,0.042681708,0.014643388,0.13213781,0.075905256,0.008706518,0.012469752,0.190855207,0.006022471,0.093331117,0.008693284,0.007537178,0.008935159,0.010050656,0.027838672,0.09350091,0.09976174,0.08531514,0.08855769,0.10722797,0.14922207,0.14528805,0.14143812,0.08968836,0.971844689,0.010900752,0.012171513,0.003137193,0.001945854
Bexleyheath and Crayford,65466,25856,0.394953105,12753,0.194803409,2819,0.04306052,0.660587175,1,350000,9.4,0.728883571,0.021160569,0,3125,0.047734702,54.44138802,"5,647",0.677408706,0.251901011,0.614515982,0.021491667,110.4,0.053855323,0.017303682,0.029497083,0.011986776,0.03179663,0.01873318,0.026481732,0.007433482,0.096260532,0.072118769,0.007276166,0.007774195,0.14062096,0.004194965,0.106743527,0.004608439,0.004152105,0.008132647,0.007921644,0.01525456,0.13320741,0.11937668,0.11805445,0.1479406,0.13179075,0.13588332,0.09230284,0.07178761,0.04965633,0.84114607,0.021059102,0.06194791,0.068800656,0.007046262
Birkenhead,63762,5540,0.086885606,24990,0.391926226,1620,0.025406982,0.663859352,0,129500,4.7,0.529341228,0.054818337,0.527272727,2355,0.036934224,-10.59133291,"5,543",0.702931838,0.230201085,0.682665676,0.010110563,102.4,0.077479453,0.025898267,0.033605133,0.012111515,0.045301034,0.0305735,0.036995667,0.008761984,0.209193771,0.077032599,0.01160888,0.01265689,0.156667374,0.008566435,0.139461031,0.011212571,0.008489991,0.006904517,0.012918721,0.021003389,0.12601213,0.1205295,0.12090458,0.13075567,0.12478765,0.14194153,0.10904578,0.08167678,0.04434639,0.958229188,0.012148438,0.0255804,0.002398163,0.001643811
"Birmingham, Edgbaston",68828,15603,0.226695531,21217,0.308261173,3349,0.048657523,0.614982275,0,200000,6.8,0.514744768,0.054626375,0.25862069,2955,0.042933109,22.96420273,"5,527",0.683114489,0.247421506,0.524034877,0.070054262,111.4,0.059242109,0.014120578,0.020741665,0.009560321,0.03626942,0.014398191,0.024071788,0.005339436,0.097905269,0.065600516,0.007246109,0.005956852,0.108698608,0.004961319,0.085471292,0.006541922,0.004546566,0.006112975,0.010289455,0.013511848,0.1239197,0.13799291,0.19487131,0.13723731,0.11764819,0.10498229,0.07918772,0.06354663,0.04061393,0.686707812,0.051932317,0.163604921,0.076878469,0.020876481
"Birmingham, Erdington",66148,14119,0.213445607,17720,0.267884139,1301,0.019668017,0.53257846,0,149950,6.0,0.51431428,0.078039873,0.6,2440,0.036886981,-51.47622548,"5,521",0.681768905,0.248726707,0.575303238,0.077716869,112.0,0.067353182,0.016299026,0.025990934,0.009290386,0.040372888,0.020224603,0.029693941,0.007323137,0.116769945,0.092058195,0.010183023,0.007099654,0.133584893,0.007048795,0.11838288,0.006245785,0.005832598,0.007303285,0.014758119,0.017039557,0.14898813,0.13128885,0.14792502,0.14505175,0.11655861,0.12661501,0.0846271,0.05859536,0.04035016,0.730818794,0.055779419,0.103970218,0.101883859,0.00754771
"Birmingham, Hall Green",80283,7381,0.091937272,35889,0.447031127,3673,0.045750657,0.659056089,0,210497.5,7.4,0.582687799,0.067166319,0.393939394,3540,0.044094017,59.16368475,"5,464",0.81262079,0.126673799,0.266211692,0.465816538,107.2,0.067139493,0.010615352,0.018080171,0.009650166,0.035157217,0.01041337,0.026369532,0.004976204,0.102935986,0.1051623,0.007811969,0.006209168,0.112148231,0.007409546,0.113253178,0.007041622,0.003822233,0.00686597,0.013645929,0.012224376,0.14747701,0.15222489,0.16131029,0.14752726,0.12682755,0.10437775,0.07903066,0.04711861,0.03410597,0.355276781,0.038419727,0.495082137,0.060903851,0.050317504
"Birmingham, Hodge Hill",78295,6742,0.086110224,35397,0.452097835,760,0.009706878,0.574787662,0,146500,5.8,0.532077096,0.079827111,0.787878788,2055,0.026246887,-16.84884827,"5,420",0.828687191,0.111901905,0.293668535,0.521187068,111.1,0.060743585,0.00909623,0.015071935,0.010383892,0.037952818,0.013899517,0.026407613,0.004001219,0.088258151,0.113209048,0.007873325,0.005673991,0.104110891,0.006872079,0.120236331,0.003803434,0.00363249,0.005886192,0.011086793,0.011384188,0.18250951,0.17985334,0.15648208,0.14061471,0.11656974,0.09109987,0.06254791,0.04040794,0.0299149,0.356654449,0.041502983,0.498249478,0.08391821,0.01967488
"Birmingham, Ladywood",74912,4773,0.063714759,33355,0.445255767,2228,0.029741563,0.56223302,0,189950,6.5,0.286902069,0.082091935,0.625,12335,0.164659868,-0.394250743,"5,388",0.77151066,0.158011887,0.325329734,0.352237298,95.8,0.055189629,0.006742075,0.011844289,0.009741867,0.024803473,0.009167312,0.019812893,0.003039248,0.08330695,0.089195021,0.005899965,0.004599845,0.095675968,0.00525958,0.099962692,0.003914718,0.003016735,0.005205563,0.013000718,0.009367663,0.14161575,0.13955218,0.26907462,0.16681406,0.11040091,0.0790655,0.04761617,0.02657849,0.01928232,0.273322125,0.059024571,0.404789531,0.226437135,0.036426638
"Birmingham, Northfield",73694,19957,0.270809021,18317,0.248554835,1961,0.026610036,0.584823731,1,175000,6.3,0.568958734,0.064335709,0.4,1815,0.024628871,-57.44315282,"5,386",0.647108122,0.285342431,0.607787265,0.022598647,117.2,0.073983483,0.019075369,0.029597245,0.012007149,0.056875756,0.023276918,0.031077904,0.007441331,0.171227421,0.082684687,0.009264945,0.008876178,0.14771812,0.007646057,0.130020953,0.007916543,0.007188058,0.008170378,0.010944634,0.017562411,0.14468564,0.12646119,0.13846926,0.12636467,0.11706902,0.12576619,0.09820746,0.07492495,0.04805159,0.858433082,0.04684388,0.04205202,0.044270474,0.008400544
"Birmingham, Perry Barr",72006,11277,0.156611949,26594,0.369330334,1901,0.026400578,0.585326223,0,160000,6.1,0.618696869,0.077896111,0.353846154,2745,0.038121823,2.00372223,"5,327",0.808815015,0.126734522,0.416584182,0.226613129,113.5,0.060354547,0.010702732,0.018043919,0.010027476,0.033112723,0.011486593,0.027451647,0.004815608,0.081061448,0.104874446,0.00693923,0.006160005,0.12825281,0.005894158,0.106382089,0.005415627,0.003621515,0.007414574,0.012915377,0.013028583,0.14460618,0.1440793,0.15924273,0.14448116,0.12403106,0.11673512,0.07852295,0.05173246,0.03656903,0.396731721,0.041142964,0.388448968,0.15240452,0.021271827
"Birmingham, Selly Oak",82665,15300,0.185084377,27714,0.335256759,3169,0.03833545,0.598403194,0,200000,6.3,0.565544073,0.045374455,0.193548387,2120,0.025645678,42.80709928,"5,307",0.65744184,0.275678169,0.535520386,0.073337369,120.4,0.065091301,0.016233115,0.025543136,0.010539341,0.045604468,0.016652401,0.026347136,0.007284782,0.124902441,0.06898497,0.007731582,0.007684193,0.117289881,0.005885175,0.10159017,0.008320555,0.005168279,0.006946646,0.011379146,0.015021865,0.11723191,0.11284915,0.2568023,0.12131645,0.1033065,0.1061711,0.08171805,0.05928919,0.04131536,0.775682973,0.043808316,0.123929776,0.044903764,0.011675171
"Birmingham, Yardley",74704,12720,0.170272007,23379,0.31295513,3754,0.05025166,0.57129471,0,169972.5,6.5,0.592563997,0.064063436,0.430769231,2825,0.037815913,-9.560065938,"5,304",0.75543855,0.180694785,0.509565478,0.206037213,118.8,0.069713331,0.014536656,0.02263047,0.011644005,0.040505665,0.019456674,0.029678527,0.006130427,0.114679897,0.102393666,0.008606834,0.007187356,0.129154762,0.007745982,0.118301032,0.005319734,0.005211038,0.007418767,0.011978247,0.015103701,0.16144134,0.1408545,0.14764331,0.13963781,0.1167939,0.116838,0.07961419,0.0567174,0.04045953,0.65637355,0.040950739,0.236897825,0.052830295,0.012947591
Bishop Auckland,68170,24067,0.353043861,16105,0.236247616,2133,0.031289424,0.657253924,1,120500,4.5,0.648778739,0.042624228,0.163636364,3200,0.04694147,14.45074128,"5,268",0.753818436,0.185729204,0.745303696,0.001985243,54.5,0.07770917,0.025612606,0.037976807,0.015250436,0.035158418,0.033106973,0.047316944,0.011248619,0.146752222,0.086397816,0.010345501,0.017648888,0.176198128,0.007324373,0.157417355,0.00807258,0.011186145,0.009943697,0.010936419,0.02596263,0.10638487,0.10822411,0.10906011,0.10978465,0.11704119,0.15310103,0.13514358,0.10510301,0.05615749,0.987549201,0.005290155,0.005221303,0.001067211,0.00087213
Blackburn,71234,10736,0.150714546,29040,0.407670494,1130,0.015863211,0.628014712,0,120000,4.7,0.607910983,0.051654643,0.430769231,3655,0.051309768,-10.3005193,"5,266",0.830641702,0.11494135,0.458077691,0.362596274,89.8,0.076662837,0.014619931,0.023514291,0.012486731,0.033141417,0.02080529,0.035277259,0.005865922,0.132494394,0.094009471,0.009200172,0.007641146,0.133105576,0.005149864,0.117782507,0.00617073,0.007037614,0.007644666,0.012328139,0.016982931,0.15381409,0.14768832,0.13259147,0.14390959,0.12620294,0.11461296,0.08797144,0.05899197,0.03421714,0.592674785,0.013837346,0.375389292,0.007571378,0.010527199
