communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,larc_bin
Austincity,21907,2.34,0.21,98.16,1.19,0.87,12.34,21.86,10.27,19.67,0,0.0,22257,66.84,1.03,46.94,41.28,7.73,23.35,28164,11811,11948,4940,1798,3528,3541.0,2932,2192,10.27,12.26,24.27,15.19,4.37,53.81,22.16,28.92,17.42,21.3,7.56,24.08,9.72,8.73,2.88,73.64,73.37,85.42,72.49,68.34,74.17,195,0.92,293,5.46,32.76,47.1,55.97,0.07,0.44,0.63,0.75,95.28,0.69,2.85,1.87,2.28,2.45,1.85,78.16,1.17,49.04,3,451,95.4,72.96,1.55,43.9,1950,2.86,0.16,31800,43000,58400,26600,175,236,299,124,276,27.2,16.4,12.1,0,0,1.34,71.16,60.54,84.53,91.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2182.7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,22.77,34.0,154.84,134.0,610.26,646.0,2941.98,41.0,186.72,2.0,9.11,0.0,3748.06,0
Tiffincity,18604,2.65,1.4,97.36,0.67,1.27,17.44,29.62,16.84,13.69,0,0.0,24215,71.35,1.0,45.67,34.4,6.51,20.35,30570,11428,11311,9778,10230,34137,6198.0,8487,1840,10.69,8.31,23.57,13.31,6.44,57.57,26.15,27.69,20.29,22.79,8.4,33.44,10.57,9.55,3.07,76.87,75.52,73.21,80.33,68.4,76.94,216,1.41,298,18.46,21.81,32.89,35.57,0.3,0.35,0.53,0.57,96.54,0.29,4.53,3.05,2.45,2.6,2.17,69.4,1.21,45.54,3,452,93.94,65.47,5.97,42.92,1945,4.81,0.32,34000,44400,59600,25600,184,234,284,100,316,22.1,15.7,12.1,0,0,1.6,84.43,57.23,84.54,94.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2950.2,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1,5.37,4.0,21.49,13.0,69.85,12.0,64.48,106.0,569.56,601.0,3229.27,10.0,53.73,3.0,16.12,161.19,3868.68,0
Lackawannacity,20585,2.43,8.79,88.47,0.35,5.09,11.99,26.07,12.85,16.81,20585,100.0,21310,65.76,0.52,40.46,38.58,10.65,27.55,28261,10796,11434,5550,8916,7176,5580.0,7592,3411,16.68,14.23,34.17,9.59,8.55,51.86,16.95,25.09,17.29,16.2,9.24,34.71,11.48,10.45,3.08,63.07,62.26,71.25,73.15,51.27,59.44,934,5.24,1207,8.29,8.95,9.44,10.44,0.49,0.52,0.55,0.61,82.28,1.95,5.61,3.64,2.41,2.57,2.19,61.38,2.84,44.08,3,527,94.14,57.47,5.69,36.24,1949,4.65,0.55,43700,58200,73600,29900,191,255,313,122,339,26.1,16.8,14.6,81,0,5.86,82.44,69.86,95.81,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3246.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,14.91,35.0,174.01,252.0,1252.86,192.0,954.56,387.0,1924.03,136.0,676.15,0.0,0.0,1441.78,0.0,0
Wallingfordtown,40822,2.69,1.01,97.13,0.92,3.22,11.98,24.06,11.02,12.07,35250,86.32,42783,82.72,0.41,56.61,25.1,3.08,18.28,49478,18231,18288,17440,21576,21177,10046.0,13417,1238,3.1,8.19,19.84,22.48,4.45,68.29,23.41,23.3,13.26,27.7,7.86,26.9,9.93,8.94,3.11,83.83,82.53,92.24,85.03,63.13,75.33,273,0.97,2436,10.59,19.01,25.33,31.77,0.63,1.13,1.51,1.9,89.75,1.41,3.69,2.73,2.63,2.81,2.15,77.0,1.36,42.84,3,769,95.17,71.93,1.3,33.16,1959,1.01,0.23,141100,169100,207900,66800,392,522,619,227,617,24.9,22.6,13.9,17,3,5.97,69.23,61.42,90.67,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,1009.8,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1,2.42,5.0,12.1,13.0,31.45,17.0,41.13,224.0,541.93,835.0,2020.13,124.0,300.0,13.0,31.45,87.1,2893.5,0
BellGardenscity,42355,4.58,0.53,38.18,1.29,87.53,20.41,36.99,18.83,3.79,42355,100.0,23819,85.24,0.38,10.17,13.89,15.54,8.47,23308,6125,6998,5121,4385,4820,5636.0,5672,10875,26.08,48.23,73.66,1.72,13.37,56.22,35.96,9.99,41.63,6.87,6.26,44.16,12.46,9.28,4.64,68.79,61.95,77.71,73.79,43.06,47.29,2987,9.09,22068,17.75,28.62,36.92,49.17,9.25,14.91,19.24,25.62,16.25,30.37,34.87,30.87,4.52,4.21,4.61,20.98,59.49,85.9,2,302,96.84,22.52,2.65,23.18,1960,10.34,0.89,127000,165200,214400,87400,450,542,638,188,605,32.3,29.7,11.7,0,0,52.1,38.62,41.95,86.67,88.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,16265.4,6.68,0.0,0.0,0.0,0.0,0.0,0.0,8,18.76,11.0,25.79,214.0,501.82,327.0,766.8,669.0,1568.77,562.0,1317.86,393.0,921.56,10.0,23.45,1313.17,3831.63,0
PuntaGordacity,10747,2.1,5.87,93.39,0.36,1.59,5.87,10.71,5.42,39.16,10878,100.0,34158,49.2,0.87,65.95,57.66,6.32,39.51,40288,22482,23273,7422,44684,54993,8656.0,15099,898,8.43,4.66,15.38,25.46,3.93,32.16,7.36,25.64,9.47,31.29,6.83,12.06,8.03,7.47,2.36,66.61,56.45,58.18,53.31,49.36,65.15,213,1.95,536,1.31,3.54,3.54,5.04,0.07,0.18,0.18,0.25,93.01,0.68,1.72,1.31,2.05,2.04,2.1,79.24,1.44,56.6,2,1810,73.9,79.73,0.88,43.59,1979,3.7,0.16,114300,168200,225100,110800,240,364,513,273,434,25.6,23.7,11.5,0,0,4.93,14.53,41.11,58.03,66.03,188.0,1530.2,143.0,1163.93,53435.0,434925.91,284.2,1530.2,98.17,95.21,3.19,1.6,0.0,4.79,13.0,10.0,58.5,14.6,736.1,0.0,230.0,8055879.0,76.06,0.0,6.91,655695.81,1,8.14,1.0,8.14,21.0,170.93,28.0,227.9,73.0,594.17,332.0,2702.26,15.0,122.09,0.0,0.0,415.11,3418.53,0
SiouxCitycity,80505,2.64,2.3,92.57,1.48,3.26,14.77,26.86,13.05,12.74,80505,100.0,25045,76.41,1.31,42.74,30.73,8.51,13.59,30743,12339,12849,5958,4188,8740,6112.0,6071,10801,13.8,8.56,22.1,17.54,5.59,63.07,18.95,25.42,15.25,22.85,9.54,28.77,12.21,10.96,3.12,72.86,70.3,73.68,79.21,69.03,75.55,2110,3.2,2508,20.73,33.85,43.66,53.15,0.65,1.05,1.36,1.66,94.26,1.46,5.33,3.69,2.55,2.7,2.26,70.82,2.7,50.7,2,1689,94.75,67.03,5.92,34.99,1948,5.76,0.44,29400,41000,58300,28900,194,259,328,134,326,25.4,17.2,13.2,77,4,3.12,70.01,53.86,81.83,87.39,111.0,133.55,102.0,122.72,60987.0,73376.6,549.4,133.5,92.57,97.3,0.0,0.0,0.0,0.0,6.0,13.0,112.6,56.2,1431.3,1.23,53.0,6349223.0,91.89,10.0,5.41,76390.8,4,4.81,61.0,73.39,121.0,145.58,1093.0,1315.05,1275.0,1534.02,4523.0,5441.86,256.0,308.01,0.0,0.0,1538.83,0.0,1
Woodbridgetownship,93086,2.78,6.46,86.61,5.47,5.56,10.81,25.74,11.46,12.38,93086,100.0,45516,83.31,0.56,51.6,27.56,3.55,19.0,50457,18213,18742,13936,16595,16484,11985.0,16184,2720,3.04,9.23,22.57,19.84,4.85,64.44,18.03,19.01,13.18,26.7,7.81,32.69,8.55,8.18,3.14,82.95,79.24,93.83,82.08,57.0,68.83,703,1.14,11371,10.53,19.36,29.5,37.8,1.29,2.36,3.6,4.62,81.6,1.96,4.47,3.37,2.68,2.86,2.21,77.7,2.32,42.2,3,1025,97.03,72.9,2.05,33.07,1958,0.99,0.2,134900,160000,182900,48000,538,633,745,207,693,25.1,23.0,15.5,43,0,12.22,65.6,66.03,80.75,91.7,173.0,178.37,161.0,166.0,70391.0,72577.0,406.9,178.4,88.92,97.69,0.0,2.31,0.0,2.31,6.0,10.0,5.8,23.9,3898.9,6.92,38.0,7548000.0,93.06,0.0,3.47,77824.1,3,3.09,15.0,15.47,108.0,111.35,270.0,278.38,665.0,685.65,2444.0,2519.9,718.0,740.3,21.0,21.65,408.3,3967.5,0
Montebellocity,59564,3.2,0.97,47.05,15.11,67.6,15.23,30.73,15.46,10.8,59564,100.0,31441,76.96,0.43,30.3,26.82,13.72,12.72,34416,12276,12533,14843,9690,18047,9442.0,10146,8246,14.0,20.28,39.19,14.61,6.73,58.24,21.31,19.57,18.88,21.63,8.4,37.61,13.31,10.97,3.59,66.71,60.37,76.26,68.11,51.74,56.68,2592,5.88,23255,17.52,25.84,32.36,42.84,6.84,10.09,12.63,16.73,31.36,17.82,13.84,10.83,3.17,3.2,3.15,48.8,22.78,64.86,2,575,97.0,48.35,2.26,25.22,1962,2.98,0.7,163700,213600,281300,117600,469,574,665,196,623,31.3,23.0,11.0,0,0,39.04,48.13,54.89,88.03,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,6964.9,5.98,0.0,0.0,0.0,0.0,0.0,0.0,4,6.47,30.0,48.52,255.0,412.43,506.0,818.4,565.0,913.83,1823.0,2948.5,721.0,1166.14,63.0,101.9,1285.83,5130.36,0
Bensalemtownship,56788,2.71,6.88,88.67,3.66,2.19,13.72,28.9,12.69,8.31,56788,100.0,38488,85.15,0.35,44.83,20.2,4.59,12.88,43224,15964,16405,11986,12030,14112,9192.0,9789,2993,5.32,4.76,20.07,21.8,4.97,69.05,18.69,21.88,13.46,28.76,9.35,31.23,11.12,10.25,3.22,78.56,75.11,91.09,80.61,53.53,65.53,877,2.46,3619,12.27,18.68,28.13,34.21,0.78,1.19,1.79,2.18,89.9,1.4,5.02,3.58,2.68,3.05,2.11,68.26,2.55,50.08,2,1749,92.3,59.83,0.51,9.43,1971,0.9,0.31,96700,117400,146700,50000,439,538,635,196,623,25.3,23.8,14.1,0,0,6.37,74.45,54.19,73.69,89.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,2745.7,4.26,0.0,0.0,0.0,0.0,0.0,0.0,3,5.19,14.0,24.24,93.0,161.0,99.0,171.39,416.0,720.18,1656.0,2866.89,559.0,967.75,25.0,43.28,361.82,4598.1,0
Manheimtownship,28880,2.71,1.06,96.63,1.81,1.04,11.14,19.25,9.09,17.05,26209,90.75,41450,77.48,1.44,64.29,29.92,2.79,19.62,46682,19703,19965,11252,10654,13279,7150.0,9682,656,2.42,7.27,17.21,32.56,2.34,62.04,24.13,26.49,11.39,35.92,5.69,20.84,7.68,6.78,2.97,86.51,85.53,93.27,86.04,56.35,68.51,166,0.75,980,7.65,11.53,27.76,32.96,0.26,0.39,0.94,1.12,93.05,0.68,2.75,2.08,2.55,2.7,2.14,77.84,0.7,26.11,3,353,96.79,73.57,0.0,32.58,1966,0.47,0.17,86300,112900,156700,70400,357,487,560,203,555,22.2,20.7,11.7,0,0,3.39,72.61,56.23,82.27,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1162.1,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,3.4,18.0,61.28,18.0,61.28,98.0,333.63,736.0,2505.62,43.0,146.39,3.0,10.21,125.96,2995.85,0
